STOP_ID,STOP_NAME,STOP_TYPE,STOP_CENTER,STOP_ADMIN,STOP_REMARK,STOP_SHORTNAME,STOP_OLDID,STOP_SERVICEID,STOP_X,STOP_Y,STOP_ANGLE,STOP_IN_DISTANCE,STOP_OUT_DISTANCE,LINK_ID,STOP_LINK_X,STOP_LINK_Y,STOP_LINK_SEQNO,STOP_LINK_LENGTH,STOP_REVISIONNO,DR_CODE,STOP_INFO,STOP_ENAME,STOP_LINE_NUM
135000001,울산세무서(가상),9,0,울산광역시,,울산세무서,0,0,231607.6405,226640.3166,274,70,30,1930100201,231606.8693,226629.0331,1,104.7,916,3114057000,2,Ulsan District Tax Office,10
135000080,롯데백화점(동래점),1,0,양산시,,롯데백화점(동래점),0,58080,207225.186,190739.4383,290,70,30,3880045800,207238.11,190732.28,3,720.8,916,0,1,Lotte Dept. Store (Dongnae),19
135000083,롯데백화점,1,0,양산시,언양정류장 방면,롯데백화점,0,58083,207254.2889,190706.5418,34,70,30,3880045900,207244.14,190712.16,2,146.9,916,0,1,Lotte Dept. Store (Dongnae),4
135000084,명륜동지하철역,1,0,양산시,,명륜동지하철역,0,58084,207238.6321,190684.5475,34,70,30,3880045900,207231.14,190688.7,1,119.9,916,0,1,Myeongnyundong Subway Stn.,2
135000087,명륜역,1,0,양산시,,명륜역,0,58087,207255.9635,190787.0276,214,70,30,3880045800,207265.52,190781.74,2,664.6,916,0,1,Myeongnyun Station,19
135000117,온천장,1,0,양산시,,온천장,0,58117,207597.6761,191197.4483,221,70,30,3880045800,207609.08,191189.3,1,131,916,0,1,Oncheonjang,8
135000121,온천장,1,0,양산시,,온천장,0,58121,207670.9532,191232.7452,41,70,30,3880045900,207662.78,191238.6,3,818,916,0,1,Oncheonjang,4
137000034,구포,1,0,양산시,,구포,0,55034,200377.984,190785.5473,194,70,30,3880043600,200384.27,190784.27,3,850.6,916,0,1,Gupo,13
137000037,북구문화빙상센타,1,0,양산시,,북구문화빙상센타,0,55037,200426.5137,190867.6935,14,70,30,3880043700,200416.99,190869.64,2,343.7,916,0,1,Bukgu Cultural  Ice Center,12
137000038,구포시장.덕천지하철,1,0,양산시,,구포시장.덕천지하철,0,55038,200411.0301,190613.6535,160,70,30,3880043600,200420.65,190616.47,4,996.4,916,0,1,Gupo Market. Doekcheon Subway,2
137000040,구룡사,1,0,양산시,,구룡사,0,55040,200419.1308,191017.0228,194,70,30,3880043600,200431.32,191014.53,2,627.5,916,0,1,Guryongsa Temple,11
137000041,덕천교차로.덕천지하,1,0,양산시,,덕천교차로.덕천지하,0,55041,200442.6161,190615.5339,340,70,30,3880043700,200437.03,190613.89,1,91.2,916,0,1,Doekcheon Intersection,12
137000044,구룡사,1,0,양산시,,구룡사,0,55044,200462.6202,191045.7385,14,70,30,3880043700,200453.41,191047.62,3,520.6,916,0,1,Guryongsa Temple,4
137000047,삼진여객차고지,1,0,양산시,,삼진여객차고지,0,55047,200467.1655,191062.4618,14,70,30,3880043700,200456.9613,200456.9613,4,537.4,916,0,1,Samjin Bus Garage,5
137000059,화명주공정문,1,0,양산시,,화명주공정문,0,55059,200691.534,191471.3621,44,70,30,3880043700,200683.29,191477.8,5,975.2,916,0,1,Hwamyeong Jugong Main Gate,14
137000060,화명주공정문,1,0,양산시,,화명주공정문,0,55060,200693.753,191530.3137,224,70,30,3880043600,200700.9,191524.73,1,58.4,916,0,1,Hwamyeong Jugong Main Gate,14
137000061,화명주공정문,1,0,양산시,,화명주공정문,0,55061,200716.1494,191504.3886,44,70,30,3880043700,200708.66,191510.24,6,1013.4,916,0,1,Hwamyeong Jugong Main Gate,6
137000067,수정지하철역,1,0,양산시,,수정지하철역,0,55067,200806.2961,191797.8163,202,70,30,3880040400,200815.86,191794.59,1,66.1,916,0,1,Sujeong Subway Stn.,6
137000070,수정지하철역,1,0,양산시,,수정지하철역,0,55070,200842.7078,191808.7884,22,70,30,3880040500,200837.09,191810.69,1,274.3,916,0,1,Sujeong Subway Stn.,15
137000073,화명주공후문,1,0,양산시,,화명주공후문,0,55073,200893.4978,192057.5273,208,70,30,3880043800,200901.7,192053.94,1,56.4,916,0,1,Hwamyeong Jugong Back Gate,14
137000075,화명주공후문,1,0,양산시,,화명주공후문,0,55075,200929.6785,192067.0392,28,70,30,3880043900,200924.7,192069.22,1,231.1,916,0,1,Hwamyeong Jugong Back Gate,5
137000080,화정마을,1,0,양산시,,화정마을,0,55080,201026.144,195034.5724,324,70,30,3880040100,201022.81,195032.57,1,209.5,916,0,1,Hwajeong Village,1
137000081,화정마을,1,0,양산시,,화정마을,0,55081,201033.791,194979.3015,141,70,30,3880040000,201037.87,194982.05,1,564.2,916,0,1,Hwajeong Village,9
137000083,북부경찰서,1,0,양산시,,북부경찰서,0,55083,201073.5683,192373.3794,219,70,30,3880044000,201080.35,192368.89,1,98.4,916,0,1,Bukbu Police Station,4
137000084,북부경찰서,1,0,양산시,,북부경찰서,0,55084,201097.0537,192358.7265,39,70,30,3880044100,201093.24,192361.26,1,307.5,916,0,1,Bukbu Police Station,10
137000085,금곡주공7단지,1,0,양산시,,금곡주공7단지,0,55085,201126.5361,195652.1938,37,70,30,3880042900,201114.54,195659.49,1,128.8,916,0,1,Geumgok Jugong 7-danji,19
137000086,금곡동사무소,1,0,양산시,,금곡동사무소,0,55086,201150.1699,194851.5264,72,70,30,3880040300,201143.13,194847.92,1,320.8,916,0,1,Geumgokdong Office,4
137000087,금곡동사무소,1,0,부산광역시,,금곡동사무소,0,55087,201126.6763,194842.3946,72,70,30,3880040200,201128.62,194843.39,1,12.3,916,0,1,Geumgokdong Office,4
137000089,율리부락,1,0,양산시,,율리부락,0,55089,201171.6672,194484.2342,182,70,30,3880044800,201175.98,194484.09,1,49.6,916,0,1,Yulli Village,7
137000091,금곡주공7단지,1,0,양산시,,금곡주공7단지,0,55091,201169.7534,195797.5324,208,70,30,3880042800,201176.58,195794.55,1,437.3,916,0,1,Geumgok Jugong 7-danji,4
137000092,벽산아파트,1,0,양산시,,벽산아파트,0,55092,201183.8182,194206.4497,165,70,30,3880045000,201190.49,194207.94,1,13.5,916,0,1,Byeoksan Apt.,17
137000093,율리부락,1,0,양산시,,율리부락,0,55093,201194.2286,194483.4141,2,70,30,3880044900,201190.99,194483.52,1,267.5,916,0,1,Yulli Village,13
137000095,대림아파트,1,0,양산시,,대림아파트,0,55095,201195.9279,192793.1619,191,70,30,3880044200,201206.67,192791.5,2,313.3,916,0,1,Daelim Apt.,14
137000096,벽산아파트,1,0,양산시,,벽산아파트,0,55096,201209.1513,194204.7993,345,70,30,3880045100,201206.69,194204.25,1,342.1,916,0,1,Byeoksan Apt.,11
137000099,대림아파트,1,0,양산시,,대림아파트,0,55099,201230.9538,192770.2274,11,70,30,3880044300,201218.86,192772.09,1,334,916,0,1,Daelim Apt.,11
137000101,와석,1,0,양산시,,와석,0,55101,201228.1161,193003.4132,192,70,30,3880044200,201242,193000.97,1,102.3,916,0,1,Waseok,2
