SID_NO,SID_TYPE,SID_IP,SID_PORT,SID_X,SID_Y,STOP_ID,BRT_REVISIONNO,BRN_REVISIONNO,SID_USEFLAG,SID_CHGYMDHMS
100,3,192.168.102.230,,225300.397,226725.201,193040601,487,1264,1,20151007210102
101,3,211.193.209.157,,231216.691,230282.82,192040505,487,1264,1,20151007210032
102,3,118.38.92.194,,230529.859,229660.108,192031704,487,1264,1,20151007210044
103,3,222.96.37.14,,230492.911,229674.52,192031703,487,1264,1,20151007210030
104,3,210.91.185.40,,231756.251,229342.735,192030603,487,1264,1,20151007210025
105,3,210.91.185.30,,231676.449,229372.741,192030604,487,1264,1,20151007210106
106,3,222.96.37.214,,231122.857,229192.936,192030602,487,1264,1,20151007210039
107,3,183.104.144.42,,230191.727,230078.92,192031701,487,1264,1,20151007210033
108,3,222.96.188.20,,227295.79,228423.09,192021209,487,1264,1,20151007210108
109,3,112.163.58.31,,230665.296,228857.974,192024706,487,1264,1,20151007210038
110,3,118.39.88.157,,230610.658,228880.472,192024301,487,1264,1,20151007210113
111,2,183.103.234.146,,228806.4809,228617.8727,192021409,487,1264,1,20151007210025
112,2,121.176.249.58,,229317.63,228781.96,192021403,487,1264,1,20151007210019
113,3,210.91.185.20,,230607.444,228816.192,192024302,487,1264,1,20151007210116
114,3,222.96.37.216,,230014.3,228762.97,192024707,487,1264,1,20151007210105
115,2,121.176.249.159,,229635.02,228765.59,192024711,487,1264,1,20151007210102
116,2,222.96.37.114,,231085.769,230236.321,192011205,482,1263,1,20150807111306
117,2,121.176.249.13,,228633.39,229254.07,192022702,487,1264,1,20151007210028
118,2,121.176.249.26,,228325.45,229067.9,192022704,487,1264,1,20151007210055
119,3,121.176.249.29,,229548.61,229592.01,192030916,487,1264,1,20151007210034
120,3,59.28.166.91,,226861.86,226376.23,193040607,487,1264,1,20151007210021
121,3,59.19.124.106,,226211.5,226504.75,193040605,474,1258,1,20151007210104
122,3,121.146.43.198,,226204.33,226537.35,193040606,487,1264,1,20151007210111
123,3,59.28.163.232,,231014.98,227069.45,193040422,487,1264,1,20151007210100
124,3,121.146.52.44,,223834.78,228061.113,193030703,474,1258,1,20151007210057
125,3,121.146.52.46,,223852.936,228015.664,193030704,487,1264,1,20151007210046
126,3,59.21.66.16,,223531.162,227352.214,193030707,487,1264,1,20151007210027
127,3,59.21.66.9,,223604.604,227457.695,193030708,487,1264,1,20151007210048
128,1,125.135.86.232,,227934.69,226016.38,193031301,487,1264,1,20151007210055
129,3,222.97.94.55,,228278.98,224783.12,193031308,487,1264,1,20151007210046
130,3,59.28.163.179,,230830.722,227674.537,193031712,487,1264,1,20151007210046
131,3,211.196.174.6,,230099.25,225317.3,193031212,487,1264,1,20151007210053
132,3,220.77.140.106,,223951.5,228759.04,193040224,487,1264,1,20151007210028
133,3,220.77.139.181,,228982.04,225804.63,193031206,487,1264,1,20151007210040
134,3,221.152.133.61,,229554.28,225598.41,193031210,487,1264,1,20151007210105
135,3,222.119.2.67,,229486.42,227569.73,193040524,487,1264,1,20151007210045
136,3,220.92.126.54,,223979.21,227220.37,193022403,487,1264,1,20151007210020
137,3,59.21.66.8,,224243.62,228104.69,193022601,487,1264,1,20151007210055
138,3,59.28.166.78,,227497.91,226256.06,193040613,487,1264,1,20151007210104
139,3,59.21.82.42,,238598.89,227011.99,194024209,487,1264,1,20151007210022
140,3,59.21.80.43,,238645.13,227021.4,194024210,487,1264,1,20151007210026
141,3,61.78.191.103,,239299.28,225752.54,194024216,487,1264,1,20151007210048
142,3,121.146.5.42,,239195.49,224992.61,194024220,487,1264,1,20151007210110
143,3,121.146.18.63,,239076.22,223932.26,194024226,487,1264,1,20151007210031
144,3,121.146.18.78,,239030.12,223536.03,194024228,487,1264,1,20151007210044
145,3,61.78.191.61,,238989.8,223216.24,194024230,487,1264,1,20151007210105
146,3,61.78.191.35,,238834.84,222400.61,194024234,487,1264,1,20151007210034
147,3,222.97.207.24,,238641.95,221304.01,194025009,487,1264,1,20151007210030
148,3,112.163.9.228,,238692.16,221716.53,194024236,487,1264,1,20151007210017
149,3,222.96.101.27,,237991.88,221212.58,194024242,487,1264,1,20151007210022
150,3,222.96.5.28,,237946.02,221967.97,194027124,487,1264,1,20151007210022
151,3,121.146.5.104,,238712.99,224773.38,194027108,487,1264,1,20151007210023
152,3,115.6.243.57,,238492.02093385,225430.56833583,194027106,487,1264,1,20151007210041
153,3,61.78.191.113,,238734.96,225779.69,194027104,487,1264,1,20151007210047
154,3,125.135.73.241,,237891.16,222516.95,194027122,487,1264,1,20151007210109
155,3,118.39.82.130,,237916.38,223225.82,194027118,487,1264,1,20151007210025
156,3,121.146.5.192,,238419.8,224137.67,194027112,487,1264,1,20151007210050
157,3,61.78.191.70,,239290.41,225357.73,194024218,487,1264,1,20151007210030
158,3,121.176.168.64,,232762.911,231598.468,195026341,487,1264,1,20151007210109
159,3,121.176.168.9,,233141.167,232410.048,195026103,487,1264,1,20151007210059
160,3,121.146.48.66,,231764.43,237227.68,195025305,487,1264,1,20151007210018
161,3,210.222.166.220,,234929.62,227308.97,195030623,487,1264,1,20151007210058
162,3,121.176.174.231,,234892.229,227569.387,195030624,487,1264,1,20151007210058
163,3,118.38.73.66,,232165.054,229369.94,195030606,486,1264,1,20151007210056
164,3,121.176.168.70,,232443.034,232881.621,195040328,487,1264,1,20151007210103
165,3,,,232357.036,233055.055,195040327,71,10,0,20140623174851
166,3,221.162.166.71,,235564.53,226173.41,195030630,487,1264,1,20151007210024
167,3,118.35.189.250,,231054.13,238900.58,195040317,486,1264,1,20151007210044
168,3,118.35.223.237,,235100.87,226901.05,195030625,487,1264,1,20151007210058
169,3,221.162.166.16,,235041.58,227086.14,195030626,487,1264,1,20151007210022
170,2,211.193.152.86,,231272.63,236952.52,195020207,487,1264,1,20151007210029
171,3,118.35.223.209,,235314.73,226488.62,195030627,487,1264,1,20151007210022
172,3,221.162.166.13,,235262.43,226652.58,195030628,487,1264,1,20151007210059
173,3,118.35.223.157,,233377.596,229396.706,195030612,487,1264,1,20151007210039
174,3,121.176.167.63,,232626.684,232408.868,195026101,487,1264,1,20151007210024
175,3,118.35.223.189,,234385.517,228950.168,195030618,487,1264,1,20151007210116
176,2,211.197.36.11,,232197.31,236169.92,195025311,487,1264,1,20151007210025
177,3,118.35.180.22,,228442.11,215284.57,196031605,487,1264,1,20151007210103
178,3,61.79.49.26,,227998.9653,215215.8448,196031601,487,1264,1,20151007210108
179,3,211.193.85.123,,225681.72,213112.16,196031520,486,1264,1,20151007210106
180,3,221.164.47.104,,221674.461,230410.285,196020406,487,1264,1,20151007210019
181,3,222.96.37.108,,231412.864,230336.66,192040503,487,1264,1,20151007210025
182,3,211.193.209.171,,230608.721,229875.3,192040509,487,1264,1,20151007210052
183,3,211.193.209.135,,230166.171,230159.496,192031702,487,1264,1,20151007210048
184,3,222.119.226.89,,230938.34,228883.735,192031708,487,1264,1,20151007210043
185,3,59.28.220.206,,231019.586,229742.794,192024701,487,1264,1,20151007210048
186,3,121.176.249.12,,228882.04,228478.69,192021605,487,1264,1,20151007210028
187,3,59.28.220.207,,231232.026,229239.035,192030601,487,1264,1,20151007210018
188,3,121.176.246.101,,229475.21,228727.11,192024713,487,1264,1,20151007210028
189,3,121.176.249.22,,227909.53,228586.06,192021212,487,1264,1,20151007210111
190,3,222.96.74.43,,231445.003,231583.556,192030901,487,1264,1,20151007210049
191,3,121.176.224.86,,230080.52,225303.92,193031211,487,1264,1,20151007210047
192,3,211.196.174.42,,230456.24,225030.48,193031214,487,1264,1,20151007210019
193,3,59.19.124.39,,227421.49,226300.46,193040614,487,1264,1,20151007210041
194,3,221.162.214.24,,226603.22,226465.59,193040608,487,1264,1,20151007210039
195,3,220.92.127.120,,223750.828,227783.399,193030706,487,1264,1,20151007210113
196,3,220.77.140.202,,223687.574,227732.859,193030705,487,1264,1,20151007210109
197,3,220.77.140.50,,223345.853,227018.658,193030712,487,1264,1,20151007210050
198,3,220.92.126.58,,223318.54,227028.89,193030711,487,1264,1,20151007210018
199,3,218.147.8.117,,224653.87,228089.67,193022603,487,1264,1,20151007210106
200,3,121.146.27.60,,227731.58,226764.67,193022506,487,1264,1,20151007210024
201,3,121.146.18.95,,238918.17,222809.95,194024232,487,1264,1,20151007210039
202,3,121.176.180.6,,237819.58,222924.73,194027120,487,1264,1,20151007210022
203,3,61.78.191.104,,239239.45,226302.27,194024214,487,1264,1,20151007210021
204,3,61.78.191.100,,239233.18,224405.49,194024224,487,1264,1,20151007210036
205,3,121.146.11.234,,238987.16,226671.86,194024212,487,1264,1,20151007210031
206,3,125.135.73.157,,237787.7,221555.33,194027125,487,1264,1,20151007210056
207,3,61.78.191.158,,239003.46,226599.43,194024211,486,1264,1,20151007210031
208,3,61.78.191.147,,238508.22,224439.74,194027110,487,1264,1,20151007210017
209,3,222.97.207.85,,238235.66,221265.1,194024240,487,1264,1,20151007210019
210,3,61.78.191.97,,239071.95,226046.42,194027102,487,1264,1,20151007210107
211,3,121.176.168.30,,232838.266,231585.296,195026342,487,1264,1,20151007210039
212,3,118.35.136.147,,235941.59,225827.04,195030632,487,1264,1,20151007210104
213,3,211.193.152.36,,231556.06,237567.35,195025303,487,1264,1,20151007210043
214,3,121.176.168.26,,233123.39,232437.753,195026104,487,1264,1,20151007210104
215,3,121.176.168.118,,233161.88,232151.967,195025701,487,1264,1,20151007210106
216,3,211.193.152.46,,230801.35,237067.85,195020203,487,1264,1,20151007210049
217,3,211.193.152.81,,230443.9,237122.76,195020201,487,1264,1,20151007210049
218,3,1.109.184.182,,234725.266,228198.15,195030622,487,1264,1,20151007210058
219,3,115.22.119.92,,231778,237258.35,195025306,487,1264,1,20151007210104
220,3,121.176.140.129,,232623.484,232434.353,195026102,487,1264,1,20151007210034
221,3,112.185.222.198,,209149.777,231173.925,196030227,487,1264,1,20151007210019
