bid_no,bop_occurymdhms,brt_id,bop_x,bop_y,bop_angle,bop_speed,bop_distance,bop_dvstat,bop_violationinfo,bop_statinfo,bop_remaindistance,bnode_fromid,bnode_toid,bop_half_x,bop_half_y,bop_fle,bop_sendymdhms,bop_rcvymdhms
101,20151120000055,196104131,224605.9,228531.74,238,58,19615,0000000000000000,00000000,00000000,3,196030504,196030504,224605.9,228531.74,1,20151120000055,20151120000051
101,20151120000226,196104131,223895.99,228175.01,237,47,19615,0000000000000000,00000000,00000000,3,196030504,196030504,223895.99,228175.01,1,20151120000226,20151120000221
101,20151120000355,196104131,223009.92,226576.45,222,68,19615,0000000000000000,00000000,00000000,3,196030504,196030504,223009.92,226576.45,1,20151120000355,20151120000351
101,20151120000526,196104131,222446.72,225848.52,76,0,19615,0000000000000000,00000000,00000000,3,196030504,196030504,222446.72,225848.52,1,20151120000526,20151120000522
101,20151120000655,196104131,222446.72,225848.52,76,0,19615,0000000000000000,00000000,00000000,3,196030504,196030504,222446.72,225848.52,1,20151120000655,20151120000651
101,20151120045636,0,222441.49,225838.64,268,0,52682,0000000000000000,00000000,00000000,3,0,0,222441.49,225838.64,1,20151120045636,20151120045631
101,20151120045806,0,222441.49,225838.64,268,0,52682,0000000000000000,00000000,00000000,3,0,0,222441.49,225838.64,1,20151120045806,20151120045800
101,20151120045936,0,222441.49,225838.64,268,0,52682,0000000000000000,00000000,00000000,3,0,0,222441.49,225838.64,1,20151120045936,20151120045930
101,20151120050106,0,222503.1,225938.31,30,31,52682,0000000000000000,00000000,00000000,3,0,0,222503.1,225938.31,1,20151120050106,20151120050101
101,20151120050236,0,223206.84,226844.12,35,48,52682,0000000000000000,00000000,00000000,3,0,0,223206.84,226844.12,1,20151120050236,20151120050230
101,20151120050406,0,223570.11,227375.85,43,0,52682,0000000000000000,00000000,00000000,3,0,0,223570.11,227375.85,1,20151120050406,20151120050401
101,20151120050536,0,223974.67,228151.47,6,34,52682,0000000000000000,00000000,00000000,3,0,0,223974.67,228151.47,1,20151120050536,20151120050531
101,20151120050706,0,224744.42,228608.45,58,65,52682,0000000000000000,00000000,00000000,3,0,0,224744.42,228608.45,1,20151120050706,20151120050700
101,20151120050836,0,224469.75,229355.96,332,54,52682,0000000000000000,00000000,00000000,3,0,0,224469.75,229355.96,1,20151120050836,20151120050830
101,20151120051006,0,224186.15,229629.36,323,25,52682,0000000000000000,00000000,00000000,3,0,0,224186.15,229629.36,1,20151120051006,20151120051000
101,20151120051136,0,224125.18,230973.05,349,53,52682,0000000000000000,00000000,00000000,3,0,0,224125.18,230973.05,1,20151120051136,20151120051130
101,20151120051306,0,224244.21,232284.05,101,27,52682,0000000000000000,00000000,00000000,3,0,0,224244.21,232284.05,1,20151120051306,20151120051300
101,20151120051436,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120051436,20151120051430
101,20151120051606,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120051606,20151120051600
101,20151120051735,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120051735,20151120051730
101,20151120051906,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120051906,20151120051901
101,20151120052035,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052035,20151120052030
101,20151120052206,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052206,20151120052201
101,20151120052335,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052335,20151120052331
101,20151120052506,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052506,20151120052501
101,20151120052635,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052635,20151120052630
101,20151120052806,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052806,20151120052801
101,20151120052935,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120052935,20151120052931
101,20151120053106,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120053106,20151120053101
101,20151120053236,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120053236,20151120053231
101,20151120053406,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120053406,20151120053401
101,20151120053536,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120053536,20151120053531
101,20151120053706,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120053706,20151120053700
101,20151120053836,0,224479.36,232499.27,272,0,52682,0000000000000000,00000000,00000000,3,0,0,224479.36,232499.27,1,20151120053836,20151120053831
101,20151120054005,196104131,224103.43,231987.32,203,58,19615,0000000000000000,00000000,00000000,3,196030504,196030504,224103.43,231987.32,0,20151120054005,20151120054000
101,20151120054136,196104132,224111.81,230987.99,172,0,19625,0000000000000000,00000000,00000000,3,192021103,192021105,224111.81,230987.99,0,20151120054136,20151120054130
101,20151120054751,196104132,225000.69,228792.45,135,0,4517,0000000000000000,00000000,00000000,15111,192021115,1920000300,225000.69,228792.45,0,20151120054751,20151120054747
101,20151120055222,196104132,227222.11,228411.32,58,13,6831,0000000000000000,00000000,00000000,12797,1920004400,1920005701,227222.11,228411.32,0,20151120055222,20151120055217
101,20151120055807,196104132,228362.81,226894.23,151,0,9358,0000000000000000,00000000,00000000,10270,193031109,1930037700,228362.81,226894.23,0,20151120055807,20151120055802
101,20151120061356,196104132,222684.11,226307.9,244,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222684.11,226307.9,0,20151120061356,20151120061351
101,20151120061456,196104132,222555.56,226102.65,206,50,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222555.56,226102.65,0,20151120061456,20151120061451
101,20151120061556,196104132,222386.67,225924.93,294,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222386.67,225924.93,0,20151120061556,20151120061551
101,20151120061656,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,0,20151120061656,20151120061651
101,20151120061845,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120061845,20151120061840
101,20151120062015,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062015,20151120062010
101,20151120062145,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062145,20151120062140
101,20151120062315,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062315,20151120062310
101,20151120062445,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062445,20151120062440
101,20151120062615,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062615,20151120062610
101,20151120062745,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062745,20151120062740
101,20151120062915,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120062915,20151120062910
101,20151120063045,196104132,222320.37,225926.21,205,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222320.37,225926.21,1,20151120063045,20151120063040
