bap_sendymdhms,sid_no,bid_no,brt_id,bap_error,bap_seqno,bap_ymdhms,brn_ymdhms,bnode_id,bap_remainstop
20151120164348,665,117,193107131,-297,60,20151120170134,20151120170632,192021612,6
20151120164348,858,156,196104122,31,71,20151120164505,20151120164433,195040325,0
20151120164348,801,161,195102252,68,31,20151120170047,20151120165939,192021409,9
20151120164348,665,191,196104122,-130,19,20151120165218,20151120165428,192021602,4
20151120164348,665,195,192108241,131,9,20151120170641,20151120170429,192072003,11
20151120164349,125,162,196104131,-138,27,20151120164914,20151120165132,193030714,3
20151120164349,125,175,194114011,-85,39,20151120164616,20151120164742,193030712,2
20151120164349,125,199,196104171,-108,82,20151120165431,20151120165620,196030508,4
20151120164350,808,121,196104121,-54,43,20151120164933,20151120165027,192021603,2
20151120164350,146,129,196104012,-101,5,20151120164936,20151120165117,194025001,6
20151120164350,613,138,192107052,63,34,20151120165819,20151120165715,196031506,10
20151120164350,613,149,195102252,-7,65,20151120165428,20151120165435,196031504,7
20151120164350,808,153,196101041,97,7,20151120165237,20151120165059,192021211,3
20151120164350,146,155,196101042,-10,24,20151120164618,20151120164628,194025009,1
20151120164350,808,161,195102252,35,88,20151120164810,20151120164734,192021409,1
20151120164350,146,165,196101121,-117,22,20151120164727,20151120164924,194024242,3
20151120164350,862,166,194101342,20,71,20151120170528,20151120170507,193040613,12
20151120164350,862,170,196104533,39,68,20151120165152,20151120165112,193040419,4
20151120164350,406,195,192108241,-17,20,20151120165115,20151120165132,192072003,4
20151120164351,110,102,196104122,-46,68,20151120164836,20151120164922,192040505,2
20151120164351,812,102,196104122,-125,37,20151120165610,20151120165816,192040505,7
20151120164351,109,112,196101142,36,34,20151120165738,20151120165701,192021205,8
20151120164351,140,116,194101261,60,74,20151120165039,20151120164938,194027108,5
20151120164351,172,116,194101261,163,30,20151120165802,20151120165518,194027108,12
20151120164351,812,117,193107131,-143,104,20151120164351,20151120164614,192021612,0
20151120164351,140,125,194101341,-93,5,20151120170417,20151120170551,194026506,15
20151120164351,172,125,194101341,-150,5,20151120171151,20151120171421,194026506,22
20151120164351,161,126,196101323,-49,101,20151120164740,20151120164830,195030615,3
20151120164351,109,127,193101072,106,23,20151120165844,20151120165658,193040402,9
20151120164351,140,131,196104012,88,15,20151120165711,20151120165543,194024234,11
20151120164351,110,134,195102161,-46,12,20151120165300,20151120165346,192030905,5
20151120164351,110,140,195102251,68,79,20151120164746,20151120164638,192024701,1
20151120164351,812,140,195102251,152,45,20151120165520,20151120165248,192024701,6
20151120164351,140,152,196101042,46,30,20151120165053,20151120165006,194024222,5
20151120164351,161,160,196101122,-78,37,20151120165407,20151120165525,195040333,7
20151120164351,140,165,196101121,-157,15,20151120170110,20151120170348,194024242,15
20151120164351,161,166,194101342,-148,53,20151120171409,20151120171637,193040613,20
20151120164351,140,172,194101081,63,94,20151120164826,20151120164723,194024218,3
20151120164351,172,172,194101081,55,87,20151120165550,20151120165455,194024218,10
20151120164351,110,196,196104212,-225,43,20151120171641,20151120172026,195026319,20
20151120164351,812,196,196104212,-423,45,20151120172241,20151120172945,195026319,25
20151120164352,126,104,196104122,-270,68,20151120165522,20151120165953,193040614,9
20151120164352,231,117,193107131,-214,88,20151120165756,20151120170131,192021612,4
20151120164352,126,137,196104132,130,18,20151120165659,20151120165449,193040610,9
20151120164352,126,181,196104262,-403,106,20151120170709,20151120171353,192021212,11
20151120164352,231,191,196104122,-65,35,20151120164822,20151120164928,192021602,2
20151120164352,231,195,192108241,111,24,20151120170236,20151120170045,192072003,9
20151120164352,101,196,196104212,-148,56,20151120170939,20151120171208,195026319,17
20151120164352,126,197,192108241,-211,94,20151120165850,20151120170222,193040404,11
20151120164353,139,126,196101323,-79,72,20151120165616,20151120165735,195030615,12
20151120164353,142,131,196104012,87,29,20151120165058,20151120164930,194024234,6
20151120164353,142,142,194101243,45,41,20151120164639,20151120164553,194024226,2
20151120164353,142,152,196101042,-10,42,20151120164353,20151120164403,194024222,0
20151120164353,454,157,196104121,-89,37,20151120165107,20151120165237,195026102,7
20151120164353,139,160,196101122,-79,6,20151120170236,20151120170355,195040333,16
20151120164353,142,165,196101121,-228,15,20151120165515,20151120165903,194024242,10
