MYBI_STOPID,MYBI_NAME,STOP_ID,STOP_X,STOP_Y,STOP_X2,STOP_Y2
3100001,동울산우체국,194070404,238981.25576,223865.42201,129.4297,35.51093333
3100002,청량초등학교앞,196024623,227068.82118,221217.80164,129.2983,35.48746667
3100003,청량초등학교앞,196024624,227076.3466,221228.9195,129.2983833,35.48756667
3100004,화봉휴먼시아2단지,195061302,233366.30374,233020.38735,129.3681833,35.59365
3100005,화봉휴먼시아2단지,195061301,233378.33078,233037.07541,129.3683167,35.5938
3100008,진장중학교,195070902,232401.27319,229654.94295,129.3574,35.56335
3100009,진장중학교,195070901,232381.46654,229699.25236,129.3571833,35.56375
3100010,주전마을,195027925,240948.91755,230671.99112,129.4517333,35.5722
3100011,주전마을,195027926,240968.49332,230686.87449,129.45195,35.57233333
3100012,월평삼거리,145000053,212839.52424,206849.6799,129.1412667,35.35825
3100013,월평삼거리,145000050,212828.89118,206868.15635,129.14115,35.35841667
3100014,디아스마트,195070904,232390.21524,230204.12087,129.3573,35.5683
3100015,디아스마트,195070903,232363.11984,230176.28433,129.357,35.56805
3100016,농수산물종합유통센터후문,195030933,232228.10575,231583.05299,129.3555667,35.58073333
3100017,농수산물종합유통센터후문,195030934,232447.23829,231557.95819,129.3579833,35.5805
3100018,농수산물종합유통센터정문,195014824,232298.47964,231337.36147,129.3563333,35.57851667
3100019,농수산물종합유통센터정문,195014818,232325.81944,231296.77717,129.3566333,35.57815
3100020,태화강역앞,193040343,232080.40736,227279.3936,129.3537667,35.54195
3100021,이마트앞,193040428,231592.9644,227068.69705,129.3483833,35.54006667
3100022,사연,196040204,218451.42436,230604.54782,129.20355,35.57226667
3100023,강변벽산아파트,193031712,230832.12899,227678.12757,129.3400167,35.54558333
3100024,강변벽산아파트,193031711,230794.55348,227616.97411,129.3396,35.54503333
3100025,진하해수욕장입구,196023308,231025.66211,209734.30816,129.3414667,35.38385
3100026,진하해수욕장입구,196023307,231019.64639,209721.34291,129.3414,35.38373333
3100027,차량등록사업소,195014822,232243.36902681,230436.04641423,129.35562815,35.57041124
3100028,온산읍주민센터앞,196031606,228525.85836,215328.99155,129.31415,35.43435
3100029,온산읍주민센터앞,196031605,228436.70009,215288.02645,129.3131667,35.43398333
3100030,서생포왜성앞,196023306,230708.07274,210051.2736,129.3379833,35.38671667
3100031,서생포왜성앞,196023305,230702.04692,210043.85601,129.3379167,35.38665
3100032,서생면사무소,196023326,229535.9905,205903.39648,129.3249333,35.34936667
3100033,서생면사무소,196023325,229544.98936,205931.16321,129.3250333,35.34961667
3100034,간절곶,196023314,232302.9452,207014.99572,129.3554167,35.3593
3100035,간절곶,196023313,232289.2523,207031.58897,129.3552667,35.35945
3100036,진목회관,196040206,218922.76389,230620.32757,129.20875,35.5724
3100037,진목회관,196040205,218877.49067,230596.1918,129.20825,35.57218333
3100038,진목,196040208,219341.15084,230671.15247,129.2133667,35.57285
3100039,진목,196040207,219345.71929,230654.51959,129.2134167,35.5727
3100040,입암,196040210,220289.75925,230745.37668,129.2238333,35.5735
3100041,입암,196040209,220282.27559,230715.77212,129.22375,35.57323333
3100042,울산과학기술대학교정문,196040232,217672.395,230598.068,129.19496,35.57222
3100043,울산과학기술대학교정문,196040231,217658.859,230579.149,129.19481,35.57205
3100044,울산과학기술대학교입구,196040230,218129.916,230620.614,129.2,35.57242
3100045,울산과학기술대학교입구,196040229,218124.888,230593.29,129.19995,35.57217
3100046,울산과학기술대학교,196040233,217423.82813,230731.92619,129.1922167,35.57343333
3100047,사연,196040203,218350.25068,230578.44981,129.2024333,35.57203333
3100048,범서읍주민센터,196040212,220902.78169,230253.05465,129.2305833,35.56905
3100049,범서읍주민센터,196040211,220866.48636,230267.76298,129.2301833,35.56918333
