ROUTE_NM,TRANSDATE,SUMAMOUNT,STOP_NM,STOP_ID,NORMALCNT,NORMALAMOUNT,STUDENTCNT,STUDENTAMOUNT,CHILDCNT,CHILDAMOUNT,TRANSFLAG
929,2015/09/18 13:56:14,800,남양그린빌,3100447,1,800,0,0,0,0,비환승
929,2015/09/18 13:58:22,800,남양그린빌,3100447,1,800,0,0,0,0,비환승
929,2015/09/18 14:03:27,340,개운초등학교아파,3103111,0,0,0,0,1,340,비환승
929,2015/09/18 14:03:30,800,개운초등학교아파,3103111,1,800,0,0,0,0,비환승
929,2015/09/18 14:03:33,800,개운초등학교아파,3103111,1,800,0,0,0,0,비환승
929,2015/09/18 14:03:40,800,개운초등학교아파,3103111,1,800,0,0,0,0,비환승
929,2015/09/18 14:03:44,800,개운초등학교아파,3103111,1,800,0,0,0,0,비환승
929,2015/09/18 14:05:51,800,삼일여고입구,3101053,1,800,0,0,0,0,비환승
929,2015/09/18 14:05:54,0,삼일여고입구,3101053,1,0,0,0,0,0,환승
929,2015/09/18 14:07:38,800,롯데캐슬,3100547,1,800,0,0,0,0,비환승
929,2015/09/18 14:07:54,0,남부초등학교,3100162,0,0,0,0,1,0,하차
929,2015/09/18 14:09:30,0,동부아파트204동,3102165,1,0,0,0,0,0,하차
929,2015/09/18 14:09:34,0,동부아파트204동,3102165,1,0,0,0,0,0,하차
929,2015/09/18 14:09:46,800,동부아파트204동,3102165,0,0,1,800,0,0,비환승
929,2015/09/18 14:12:21,800,홈플러스,3102167,1,800,0,0,0,0,비환승
929,2015/09/18 14:12:26,800,홈플러스,3102167,1,800,0,0,0,0,비환승
929,2015/09/18 14:19:25,800,동평중학교앞,3100629,1,800,0,0,0,0,비환승
929,2015/09/18 14:19:28,800,동평중학교앞,3100629,1,800,0,0,0,0,비환승
929,2015/09/18 14:20:37,800,달동주공아파트단,3100641,0,0,1,800,0,0,비환승
929,2015/09/18 14:29:02,0,현대백화점정문,3100515,0,0,1,0,0,0,하차
929,2015/09/18 14:29:05,0,현대백화점정문,3100515,0,0,1,0,0,0,하차
929,2015/09/18 14:29:23,800,현대백화점정문,3100515,1,800,0,0,0,0,비환승
